Entity,Code,Year,Executions,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria ,Drowning ,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self-harm,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein-energy malnutrition,Terrorism,Road injuries,Chronic respiratory diseases,Cirrhosis and diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis,Population
Argentina,ARG,1990,,772,4983,1494,1323,9,1128,2024,448,559,22,1641,98783,8684,9407,949,2758,21,1073,29,56399,162,7096,7129,308,1277,1,4361,9894,5943,12139,627,107,
Argentina,ARG,1991,,757,5161,1526,1323,9,1120,2007,433,670,24,1587,97610,9048,9257,992,2875,0,1006,32,57122,114,7345,7261,305,1275,1,4502,10211,5895,12062,645,108,
Argentina,ARG,1992,,732,5383,1594,1322,8,1108,2105,418,909,25,1528,98286,9536,8704,1028,3065,45,920,35,58603,143,7741,7575,300,1272,33,4679,10766,5961,12201,667,105,
Argentina,ARG,1993,,731,5609,1644,1303,8,1070,2123,406,1003,27,1465,97030,10037,8334,1062,3194,15,839,37,59365,125,8026,7788,293,1252,,4843,11182,5859,12109,678,103,
Argentina,ARG,1994,,698,5843,1670,1297,8,1047,2226,372,1328,28,1384,94314,10484,7887,1101,3343,0,795,41,59889,132,8190,7939,287,1246,86,4989,11440,5758,11961,682,104,
Argentina,ARG,1995,,698,6142,1748,1369,7,1015,2173,388,1635,30,1365,94708,11535,7514,1131,3496,6,798,45,61086,40,8479,8372,286,1314,0,5082,12171,5806,12112,699,100,
Argentina,ARG,1996,,693,6439,1818,1452,7,1022,2276,408,1867,31,1330,94471,12577,7286,1145,3707,0,802,50,62791,53,8693,8856,287,1392,1,5241,12775,5921,12313,727,93,
Argentina,ARG,1997,,639,6749,1910,1585,7,1006,2179,396,2049,35,1258,94388,13844,6972,1164,3965,19,827,57,64496,3,9013,9620,287,1519,3,5383,13514,6021,12466,744,76,
Argentina,ARG,1998,,638,7058,2013,1712,7,998,2055,404,1907,41,1188,95359,15388,6977,1121,4157,23,829,59,66293,0,9456,10446,277,1635,,5537,14362,6085,12660,747,66,
Argentina,ARG,1999,,616,7319,2082,1791,6,973,2169,423,1767,43,1136,95713,16898,6564,1071,4328,11,808,63,67589,0,9837,11112,280,1703,0,5556,14948,6100,12796,754,60,
